,pclass,sex,embarked,survived,deck,title,age_range,fare_range,fam_size
0,1,1,0,1,1,0,2,4,1
1,1,0,0,1,2,3,0,4,4
2,1,1,0,0,2,0,0,4,4
3,1,0,0,0,2,1,2,4,4
4,1,1,0,0,2,2,2,4,4
5,1,0,0,1,4,1,4,3,1
6,1,1,0,1,3,0,6,4,2
7,1,0,0,0,0,1,3,0,1
8,1,1,0,1,2,2,5,4,3
9,1,0,1,0,2,1,7,4,1
10,1,0,1,0,2,5,4,4,2
11,1,1,1,1,2,2,1,4,2
12,1,1,1,1,1,0,2,4,1
13,1,1,0,1,3,0,2,4,1
14,1,0,0,1,0,1,7,3,1
15,1,0,0,0,4,1,4,3,1
16,1,0,1,0,1,1,2,4,2
17,1,1,1,1,1,2,4,4,2
18,1,1,1,1,3,0,3,4,1
19,1,0,1,0,2,1,3,4,1
20,1,0,0,1,3,1,3,4,3
21,1,1,0,1,3,2,4,4,3
22,1,0,1,1,2,1,2,3,1
23,1,1,1,1,2,0,4,4,1
24,1,1,0,1,2,0,2,4,1
25,1,0,1,0,4,1,2,3,1
26,1,0,1,1,1,1,2,4,2
27,1,1,1,1,1,2,1,4,2
28,1,1,0,1,2,0,3,4,1
29,1,0,0,1,2,1,2,3,1
30,1,0,0,0,2,1,4,3,1
31,1,0,1,1,0,1,3,3,1
32,1,1,0,1,2,0,2,4,1
33,1,1,0,1,2,0,5,3,1
34,1,0,0,0,3,1,4,3,1
35,1,1,1,1,2,0,4,4,1
36,1,1,0,1,4,0,2,4,2
37,1,0,0,1,1,1,4,3,1
38,1,0,0,0,0,1,4,3,1
39,1,0,1,0,1,1,4,4,1
40,1,0,1,0,3,5,4,3,1
41,1,1,1,1,1,2,4,3,1
42,1,1,0,1,2,2,5,4,3
43,1,1,1,1,3,2,5,4,1
44,1,1,1,1,4,0,4,4,1
45,1,0,0,0,1,5,4,3,1
46,1,0,0,0,3,1,4,3,1
47,1,0,0,1,4,1,4,3,1
48,1,1,1,1,3,2,5,3,1
49,1,0,1,1,1,1,3,4,2
50,1,1,1,1,1,2,5,4,2
51,1,0,0,0,1,1,3,0,1
52,1,0,0,0,1,1,2,4,1
53,1,0,0,0,1,1,1,4,1
54,1,0,0,1,1,3,1,4,4
55,1,1,0,1,1,0,1,4,4
56,1,0,0,1,1,1,3,4,4
57,1,1,0,1,1,2,3,4,4
58,1,0,0,0,2,1,4,3,1
59,1,1,1,1,1,2,2,3,1
60,1,0,0,0,2,1,3,4,2
