,pclass,deck,fare_range,sex,title,age_range,fam_size,embarked,survived
0,1,1,4,1,0,2,1,0,1
1,1,2,4,0,3,0,4,0,1
2,1,2,4,1,0,0,4,0,0
3,1,2,4,0,1,2,4,0,0
4,1,2,4,1,2,2,4,0,0
5,1,4,3,0,1,4,1,0,1
6,1,3,4,1,0,6,2,0,1
7,1,0,0,0,1,3,1,0,0
8,1,2,4,1,2,5,3,0,1
9,1,2,4,0,1,7,1,1,0
10,1,2,4,0,5,4,2,1,0
11,1,2,4,1,2,1,2,1,1
12,1,1,4,1,0,2,1,1,1
13,1,3,4,1,0,2,1,0,1
14,1,0,3,0,1,7,1,0,1
15,1,4,3,0,1,4,1,0,0
16,1,1,4,0,1,2,2,1,0
17,1,1,4,1,2,4,2,1,1
18,1,3,4,1,0,3,1,1,1
19,1,2,4,0,1,3,1,1,0
20,1,3,4,0,1,3,3,0,1
21,1,3,4,1,2,4,3,0,1
22,1,2,3,0,1,2,1,1,1
23,1,2,4,1,0,4,1,1,1
24,1,2,4,1,0,2,1,0,1
25,1,4,3,0,1,2,1,1,0
26,1,1,4,0,1,2,2,1,1
27,1,1,4,1,2,1,2,1,1
28,1,2,4,1,0,3,1,0,1
29,1,2,3,0,1,2,1,0,1
30,1,2,3,0,1,4,1,0,0
31,1,0,3,0,1,3,1,1,1
32,1,2,4,1,0,2,1,0,1
33,1,2,3,1,0,5,1,0,1
34,1,3,3,0,1,4,1,0,0
35,1,2,4,1,0,4,1,1,1
36,1,4,4,1,0,2,2,0,1
37,1,1,3,0,1,4,1,0,1
38,1,0,3,0,1,4,1,0,0
39,1,1,4,0,1,4,1,1,0
40,1,3,3,0,5,4,1,1,0
41,1,1,3,1,2,4,1,1,1
42,1,2,4,1,2,5,3,0,1
43,1,3,4,1,2,5,1,1,1
44,1,4,4,1,0,4,1,1,1
45,1,1,3,0,5,4,1,0,0
46,1,3,3,0,1,4,1,0,0
47,1,4,3,0,1,4,1,0,1
48,1,3,3,1,2,5,1,1,1
49,1,1,4,0,1,3,2,1,1
50,1,1,4,1,2,5,2,1,1
51,1,1,0,0,1,3,1,0,0
52,1,1,4,0,1,2,1,0,0
53,1,1,4,0,1,1,1,0,0
54,1,1,4,0,3,1,4,0,1
55,1,1,4,1,0,1,4,0,1
56,1,1,4,0,1,3,4,0,1
57,1,1,4,1,2,3,4,0,1
58,1,2,3,0,1,4,1,0,0
59,1,1,3,1,2,2,1,1,1
60,1,2,4,0,1,3,2,0,0
61,1,2,4,1,2,7,2,0,1
62,1,4,4,0,1,4,2,0,0
63,1,4,4,1,2,4,2,0,1
64,1,4,4,0,1,2,2,0,1
65,1,4,4,1,2,3,2,0,1
66,1,1,4,1,0,3,1,1,1
67,1,1,4,1,0,2,1,0,1
68,1,0,3,0,1,4,1,1,1
69,1,4,4,1,2,2,2,0,1
70,1,2,0,0,1,4,1,0,0
71,1,2,4,0,1,2,2,1,0
72,1,2,4,1,2,2,2,1,1
73,1,1,4,1,0,2,1,0,1
74,1,0,4,0,1,4,1,0,0
75,1,4,3,0,1,4,1,0,0
76,1,4,4,1,0,3,3,1,1
77,1,4,4,0,1,3,3,1,0
78,1,4,4,1,2,6,3,1,1
79,1,2,3,1,2,5,3,0,1
80,1,1,3,0,1,4,1,0,0
81,1,1,4,0,5,6,3,0,0
82,1,1,4,1,0,3,3,0,1
83,1,1,3,1,2,6,3,0,1
84,1,2,4,0,1,3,2,1,0
85,1,2,4,1,2,3,2,1,1
86,1,4,3,0,1,5,1,0,1
87,1,2,3,0,1,2,1,0,1
88,1,1,4,1,0,3,1,0,1
89,1,1,4,0,1,3,2,0,0
90,1,1,4,1,2,2,4,0,1
91,1,1,4,0,1,3,2,0,1
92,1,1,4,1,2,1,2,0,1
93,1,0,4,0,5,5,3,0,1
94,1,0,4,0,3,0,3,0,1
95,1,0,4,1,2,5,3,0,1
96,1,2,4,0,1,4,2,1,0
97,1,1,4,1,2,2,3,1,1
98,1,2,4,1,2,4,2,1,1
99,1,0,3,1,4,4,2,1,1
100,1,0,4,0,4,4,2,1,1
101,1,0,3,0,1,3,1,1,0
102,1,2,4,1,2,2,2,1,1
103,1,2,4,1,0,3,1,1,1
104,1,3,4,1,0,5,2,1,1
105,1,0,3,1,0,3,1,1,0
106,1,2,4,0,1,4,1,0,0
107,1,2,3,1,2,2,1,0,1
108,1,2,4,1,0,2,1,1,1
109,1,4,3,0,1,3,1,0,1
110,1,2,3,0,1,2,1,1,0
111,1,2,4,1,0,2,6,0,1
112,1,2,4,1,0,2,6,0,1
113,1,2,4,1,0,2,6,0,1
114,1,2,4,0,1,1,6,0,0
115,1,2,4,0,1,6,6,0,0
116,1,2,4,1,2,5,6,0,1
117,1,4,4,1,0,2,1,1,1
118,1,3,3,0,1,4,1,0,0
119,1,4,4,0,5,4,3,0,1
120,1,3,3,0,1,4,2,1,1
121,1,4,4,1,2,2,2,0,1
122,1,1,4,1,0,2,3,1,1
123,1,1,4,0,1,5,3,1,1
124,1,1,4,1,2,4,3,1,1
125,1,1,0,0,1,4,1,0,0
126,1,2,4,0,1,3,2,0,0
127,1,2,4,1,2,3,2,0,1
128,1,4,3,0,1,4,1,0,0
129,1,2,4,1,0,3,1,1,1
130,1,4,4,1,0,2,2,1,1
131,1,4,4,1,2,4,2,1,1
132,1,1,4,0,1,2,1,1,0
133,1,2,4,0,1,4,2,1,1
134,1,2,4,1,2,2,2,1,1
135,1,0,3,0,1,7,1,1,0
136,1,2,3,0,5,5,1,1,1
137,1,1,3,1,0,1,1,0,1
138,1,2,4,0,1,3,2,0,0
139,1,2,4,1,2,5,2,0,1
140,1,3,4,0,1,2,2,1,1
141,1,3,4,1,2,4,2,1,1
142,1,1,4,0,1,4,1,1,0
143,1,4,4,0,1,2,2,1,1
144,1,4,4,1,2,2,2,1,1
145,1,3,4,0,1,4,2,1,1
146,1,3,4,1,2,4,2,1,1
147,1,3,4,0,1,4,1,0,0
148,1,2,4,0,1,4,2,0,0
149,1,2,4,1,2,3,2,0,1
150,1,1,0,0,1,3,1,0,0
151,1,3,4,0,1,2,1,1,1
152,1,3,3,0,1,4,1,0,1
153,1,2,4,1,0,2,1,1,1
154,1,1,4,0,1,5,3,0,0
155,1,1,4,1,2,5,3,0,1
156,1,1,4,0,1,4,1,0,0
157,1,4,4,0,1,4,1,0,0
158,1,2,4,0,1,5,1,0,0
159,1,1,4,1,0,1,2,1,1
160,1,1,4,1,2,4,2,1,1
161,1,3,4,1,2,5,2,0,1
162,1,3,4,0,1,4,2,0,0
163,1,3,4,1,2,3,2,0,1
164,1,2,3,0,1,3,1,1,1
165,1,2,4,0,1,3,2,0,1
166,1,1,3,0,1,4,1,1,0
167,1,2,4,1,2,3,2,0,1
168,1,1,4,1,0,3,1,0,1
169,1,2,3,1,0,4,1,1,0
170,1,1,0,0,1,4,1,0,1
171,1,1,3,0,1,4,1,0,0
172,1,4,3,0,1,4,1,0,0
173,1,2,4,0,1,3,1,1,0
174,1,1,3,0,1,5,1,1,0
175,1,3,4,0,1,4,2,0,0
176,1,3,4,1,2,2,2,0,1
177,1,3,4,0,1,4,2,0,1
178,1,3,4,1,2,4,2,0,1
179,1,2,3,0,1,4,1,0,0
180,1,2,4,1,0,3,1,0,1
181,1,3,3,1,5,4,1,0,1
182,1,2,4,1,0,2,1,1,1
183,1,1,4,0,1,3,1,1,1
184,1,3,3,0,1,4,1,1,0
185,1,1,3,0,1,4,1,0,0
186,1,2,3,1,2,5,1,1,1
187,1,3,3,1,0,1,2,0,1
188,1,3,3,1,2,5,2,0,1
189,1,3,3,0,1,2,1,0,0
190,1,3,4,1,0,2,1,0,1
191,1,2,4,0,1,2,1,0,0
192,1,1,4,1,0,5,1,1,1
193,1,1,4,1,0,1,2,0,1
194,1,2,3,0,1,2,1,0,0
195,1,1,4,1,0,1,1,0,1
196,1,2,3,0,1,4,1,1,1
197,1,3,4,0,1,1,2,0,0
198,1,3,4,1,2,1,2,0,1
199,1,2,4,1,2,2,1,1,1
200,1,2,4,0,1,4,1,1,0
201,1,4,4,0,1,5,1,0,0
202,1,4,3,0,1,3,1,0,1
203,1,4,4,0,1,2,2,1,0
204,1,4,4,1,2,2,2,1,1
205,1,4,3,0,1,6,1,0,0
206,1,2,4,0,5,4,3,2,0
207,1,2,4,1,0,3,2,2,1
208,1,2,4,1,2,3,2,2,1
209,1,2,4,0,1,2,2,1,1
210,1,2,3,0,1,5,1,0,0
211,1,3,4,0,1,4,1,0,0
212,1,2,3,0,1,3,2,1,0
213,1,3,4,1,0,3,2,1,1
214,1,3,4,1,0,2,2,1,1
215,1,3,4,0,1,5,3,1,0
216,1,3,3,1,0,1,3,0,1
217,1,4,3,0,1,6,1,0,0
218,1,2,4,1,4,3,1,1,1
219,1,2,3,0,1,4,1,1,1
220,1,1,4,1,0,2,2,1,1
221,1,1,4,0,1,6,2,1,0
222,1,3,3,0,1,2,1,1,0
223,1,1,0,0,1,4,1,0,0
224,1,2,3,0,1,4,1,0,0
225,1,1,4,0,1,2,1,0,0
226,1,2,4,0,1,2,2,0,0
227,1,2,4,1,2,2,2,0,1
228,1,2,4,0,1,1,2,1,0
229,1,2,4,1,2,1,2,1,1
230,1,1,4,1,0,2,1,0,1
231,1,2,3,0,5,5,1,0,1
232,1,2,4,0,1,4,1,0,0
233,1,2,4,1,2,5,2,1,1
234,1,2,0,0,4,3,1,0,0
235,1,3,3,0,1,4,1,0,1
236,1,2,4,0,1,2,1,1,0
237,1,2,4,0,1,4,1,1,0
238,1,1,4,1,2,4,2,0,1
239,1,0,4,0,1,3,1,0,0
240,1,1,3,0,1,4,1,0,1
241,1,0,4,0,1,4,1,0,0
242,1,0,3,1,0,3,1,1,1
243,1,2,4,0,1,4,1,1,0
244,1,0,3,0,1,3,1,1,0
245,1,1,4,1,4,3,1,0,1
246,1,1,4,0,1,5,2,1,0
247,1,1,4,1,2,5,2,1,1
248,1,0,3,0,1,3,1,0,0
249,1,1,4,0,3,1,5,1,1
250,1,1,4,1,0,1,5,1,1
251,1,1,4,1,0,2,5,1,1
252,1,1,4,0,1,6,5,1,0
253,1,1,4,1,2,4,5,1,1
254,1,2,3,0,1,4,1,0,1
255,1,1,4,1,2,2,1,1,1
256,1,1,3,0,1,4,1,0,1
257,1,2,4,1,2,3,2,1,1
258,1,3,3,1,0,2,1,1,1
259,1,2,3,0,1,3,1,0,1
260,1,2,4,1,0,3,1,0,1
261,1,4,3,0,1,3,1,0,1
262,1,4,4,0,1,4,2,0,0
263,1,4,4,1,2,3,2,0,1
264,1,0,3,0,5,5,1,1,1
265,1,0,3,0,1,2,1,0,1
266,1,0,3,0,1,5,1,0,0
267,1,0,3,0,1,5,1,1,0
268,1,2,4,0,1,2,2,0,0
269,1,0,3,0,1,4,1,0,0
270,1,2,4,1,2,1,2,0,1
271,1,1,4,0,1,2,2,0,1
272,1,1,4,1,2,2,2,0,1
